step,total_tokens,diloco_bpb,ref_bpb,ref_interp,degradation,in_overlap
153000,1314816000,1.145297,1.231724,"interp[1233M,1409M]",-0.086427,True
156000,1413120000,1.130913,1.234842,"interp[1409M,1585M]",-0.103929,True
159000,1511424000,1.12149,1.236535,"interp[1409M,1585M]",-0.115044,True
162000,1609728000,1.114657,1.238227,"interp[1585M,1761M]",-0.12357,True
165000,1708032000,1.108793,1.239918,"interp[1585M,1761M]",-0.131125,True
168000,1806336000,1.104896,1.222769,"interp[1761M,1937M]",-0.117873,True
171000,1904640000,1.101363,1.183354,"interp[1761M,1937M]",-0.081991,True
174000,2002944000,1.096918,1.172629,clamp-high,-0.07571,False
177000,2101248000,1.093428,1.172629,clamp-high,-0.079201,False
180000,2199552000,1.090345,1.172629,clamp-high,-0.082284,False
183000,2297856000,1.086431,1.172629,clamp-high,-0.086198,False
186000,2396160000,1.083981,1.172629,clamp-high,-0.088648,False
189000,2494464000,1.081483,1.172629,clamp-high,-0.091146,False
192000,2592768000,1.078347,1.172629,clamp-high,-0.094281,False
195000,2691072000,1.076163,1.172629,clamp-high,-0.096466,False
198000,2789376000,1.074491,1.172629,clamp-high,-0.098137,False
201000,2887680000,1.071909,1.172629,clamp-high,-0.10072,False
204000,2985984000,1.069665,1.172629,clamp-high,-0.102964,False
207000,3084288000,1.068781,1.172629,clamp-high,-0.103848,False
210000,3182592000,1.066168,1.172629,clamp-high,-0.106461,False
213000,3280896000,1.065246,1.172629,clamp-high,-0.107383,False
216000,3379200000,1.063602,1.172629,clamp-high,-0.109026,False
219000,3477504000,1.061546,1.172629,clamp-high,-0.111083,False
222000,3575808000,1.059659,1.172629,clamp-high,-0.11297,False
225000,3674112000,1.05799,1.172629,clamp-high,-0.114639,False
228000,3772416000,1.05636,1.172629,clamp-high,-0.116269,False
231000,3870720000,1.055702,1.172629,clamp-high,-0.116927,False
234000,3969024000,1.054096,1.172629,clamp-high,-0.118533,False
237000,4067328000,1.052423,1.172629,clamp-high,-0.120206,False
240000,4165632000,1.05169,1.172629,clamp-high,-0.120939,False
