name,gpu,dim,model_params,param_target,param_target_error_pct,n_gdn,n_nonlin,n_shell,avg_loss,final_loss,heldout_bpb,tok_s,steps,tokens,wall_minutes,params_b,nan_seen,roundtrip_ok
M0_dense_gdn2,0,3840,1272504748,1270000000,0.1972,102,0,0,6.37862,5.61276,2.04499,8912.1,1928,7900944,15.003,1.2725,False,True
M1_priorE99_5to1,1,3648,1278014536,1270000000,0.6311,84,17,0,6.58717,5.75612,2.09623,8093.6,1751,7175598,15.007,1.278,False,True
C1_gdn_nonlin_f17,2,3648,1274175562,1270000000,0.3288,85,17,0,6.62261,5.73878,2.11025,7549.5,1633,6692034,15.007,1.2742,False,True
C2_gdn_nonlin_f33,3,3456,1268965864,1270000000,-0.0814,68,34,0,6.72914,5.79418,2.13194,7880.8,1701,6970698,15.004,1.269,False,True
C3_gdn_nonlin_f50,4,3328,1281513158,1270000000,0.9065,51,51,0,6.89042,5.89688,2.15516,7421.5,1606,6581388,15.007,1.2815,False,True
S1_gdn_shell_f17,5,3840,1272505292,1270000000,0.1973,85,0,17,6.5035,5.71857,2.09227,8094.8,1747,7159206,15.007,1.2725,False,True
S2_gdn_shell_f33,6,3840,1272505292,1270000000,0.1973,68,0,34,6.47464,5.62932,2.07921,7991.0,1725,7069050,15.007,1.2725,False,True
S3_gdn_shell_f50,7,3840,1272505292,1270000000,0.1973,51,0,51,6.44591,5.6952,2.06421,8167.8,1765,7232970,15.006,1.2725,False,True
cma_g0_e0,0,3584,1270689152,1270000000,0.0543,80,3,0,7.01032,5.88809,2.18473,7669.7,1661,6806778,15.008,1.2707,False,
cma_g0_e1,,,,,,,,,,,,,,,,,,
cma_g0_e2,2,3392,1270459162,1270000000,0.0362,61,1,0,7.06,5.98698,2.17338,7328.9,1436,5884728,15.006,1.2705,False,
cma_g0_e3,3,3328,1260502994,1270000000,-0.7478,57,1,0,7.09649,5.9059,2.15832,7715.5,1506,6171588,15.004,1.2605,False,
cma_g0_e4,4,3840,1280587432,1270000000,0.8337,100,0,0,6.45627,5.70895,2.06965,8166.6,1765,7232970,15.003,1.2806,False,
cma_g0_e5,5,3584,1270689152,1270000000,0.0543,80,5,0,6.65938,5.7381,2.12289,7951.7,1718,7040364,15.002,1.2707,False,
cma_g1_e0,0,3776,1267203044,1270000000,-0.2202,98,2,0,6.48327,5.60654,2.08983,7696.6,1667,6831366,15.009,1.2672,False,
cma_g1_e1,1,3392,1259751712,1270000000,-0.807,64,15,0,6.8847,5.87884,2.15863,7948.6,1552,6360096,15.005,1.2598,False,
cma_g1_e2,2,3840,1276546090,1270000000,0.5154,101,0,0,6.47108,5.66322,2.07048,8033.5,1735,7110030,15.005,1.2765,False,
cma_g1_e3,3,3840,1272504748,1270000000,0.1972,102,0,0,6.33638,5.53642,2.03954,9395.4,2031,8323038,15.007,1.2725,False,
cma_g1_e4,4,3392,1259751712,1270000000,-0.807,64,15,0,6.89209,5.92278,2.1755,7532.6,1496,6130608,15.004,1.2598,False,
cma_g1_e5,5,3264,1267178368,1270000000,-0.2222,48,8,0,7.01318,5.88419,2.1517,7510.5,1626,6663348,15.004,1.2672,False,
cma_g2_e0,0,3776,1267203044,1270000000,-0.2202,98,0,0,6.53386,5.63933,2.08859,7691.9,1664,6819072,15.003,1.2672,False,
cma_g2_e1,1,3840,1272504748,1270000000,0.1972,102,0,0,6.33139,5.55915,2.03816,9654.0,2087,8552526,15.004,1.2725,False,
cma_g2_e2,2,3840,1272504748,1270000000,0.1972,102,0,0,6.42055,5.63934,2.07612,8896.2,1920,7868160,15.004,1.2725,False,
cma_g2_e3,3,3840,1272504748,1270000000,0.1972,102,0,0,6.36508,5.54544,2.04179,9373.8,2026,8302548,15.003,1.2725,False,
cma_g2_e4,4,3840,1272504748,1270000000,0.1972,102,0,0,6.37028,5.58065,2.052,9111.8,1968,8064864,15.002,1.2725,False,
cma_g2_e5,5,3840,1280587432,1270000000,0.8337,100,0,0,6.42679,5.68866,2.05144,8291.8,1792,7343616,15.007,1.2806,False,
cma_g3_e0,0,3840,1272504748,1270000000,0.1972,102,0,0,6.38365,5.58463,2.05126,8847.8,1914,7843572,15.0,1.2725,False,
cma_g3_e1,1,3840,1272504748,1270000000,0.1972,102,0,0,6.32245,5.56073,2.04054,9655.8,2086,8548428,15.001,1.2725,False,
cma_g3_e2,2,3840,1272504748,1270000000,0.1972,102,0,0,6.39439,5.64041,2.04813,8890.3,1923,7880454,15.007,1.2725,False,
cma_g3_e3,3,3840,1272504748,1270000000,0.1972,102,0,0,6.35586,5.53938,2.04047,9378.5,2026,8302548,15.002,1.2725,False,
cma_g3_e4,4,3840,1272504748,1270000000,0.1972,102,0,0,6.39974,5.60236,2.06292,9113.1,1968,8064864,15.001,1.2725,False,
cma_g3_e5,5,3840,1272504748,1270000000,0.1972,102,0,0,6.34768,5.55869,2.04918,9296.6,2007,8224686,15.002,1.2725,False,
