name,gen,a_delta,a_track,f_delta,f_track,dim,model_params,heldout_bpb,tok_s,avg_loss,fused_asserted
cma_g0_e0,0,-1.5065716939775347,-3.7765355156438436,0.1875,0.0,448,42544768,2.38971,56045.1,6.47477,True
cma_g0_e1,0,-1.204622923798615,-0.45386413473922715,0.15625,0.3125,384,38164320,2.48655,34669.0,6.70322,True
cma_g0_e2,0,-2.968306749446672,-3.968285620892545,0.03125,0.03125,448,41650544,2.37801,32379.7,6.51668,True
cma_g0_e3,0,0.6584256310147829,-1.965092169478074,0.625,0.0625,384,39520224,2.44444,39446.3,6.59298,True
cma_g0_e4,0,-3.4389487718699043,-2.414852784486788,0.03125,0.09375,448,42089296,2.40047,42887.2,6.5648,True
cma_g1_e0,1,-2.868160533180764,-4.607723103430232,0.0625,0.0,448,41653888,2.39485,56073.7,6.54138,True
cma_g1_e1,1,-0.8139224743775486,-5.596907845545379,0.3125,0.0,384,37240320,2.45333,57048.3,6.63208,True
cma_g1_e2,1,-0.8233494955769531,-2.784021503702614,0.3125,0.03125,384,37427952,2.42433,43797.9,6.55147,True
cma_g1_e3,1,-2.1950339435700643,-2.759427859231254,0.09375,0.0625,448,42315360,2.41778,43017.1,6.55164,True
cma_g1_e4,1,-0.5285191766223978,-4.172932239362219,0.375,0.0,384,37621248,2.45053,56227.3,6.65087,True
cma_g2_e0,2,-3.483331802877979,-3.3490464531992776,0.03125,0.03125,448,41650544,2.38596,43624.6,6.52026,True
cma_g2_e1,2,-2.9307999888595893,-5.176865303596333,0.0625,0.0,448,41653888,2.42901,51617.4,6.5631,True
cma_g2_e2,2,-2.2791436673061387,-4.096919273930531,0.09375,0.0,448,41876608,2.38269,57167.9,6.49735,True
cma_g2_e3,2,-1.805634211510191,-3.976299121627051,0.125,0.03125,448,42318704,2.38784,40005.7,6.44213,True
cma_g2_e4,2,-2.293825780904232,-4.408413262484186,0.09375,0.0,448,41876608,2.40702,56807.1,6.52545,True
cma_g3_e0,3,-2.411941370751344,-3.0564982367524847,0.09375,0.03125,448,42095984,2.39064,43263.0,6.49277,True
cma_g3_e1,3,-2.1308186951442374,-3.8200491102347547,0.09375,0.03125,448,42095984,2.40468,38089.0,6.47035,True
cma_g3_e2,3,-2.0044148832594795,-4.173524405402018,0.125,0.0,448,42099328,2.40608,56641.3,6.56209,True
cma_g3_e3,3,-1.7125974495787322,-3.8577437987713754,0.15625,0.0,448,42322048,2.37614,56688.0,6.47108,True
cma_g3_e4,3,-2.7766699027903274,-3.3296712761624936,0.0625,0.03125,448,41873264,2.37287,42752.7,6.44797,True
