model,step,loss,accuracy,correct,n,arc_challenge,arc_easy,boolq,hellaswag,openbookqa,sciq,source
E88,891000,2.6304620814323427,0.35333333333333333,106,300,0.26,0.5,0.36,0.3,0.18,0.52,racer_eval_runs/ctx2k_panel_20260521_initial/snapshot_20260521_222601/eval.json
E88,909000,2.6565615224838255,0.3433333333333333,103,300,0.2,0.52,0.38,0.26,0.2,0.5,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_043436/eval.json
E88,924000,2.654111559391022,0.35333333333333333,106,300,0.26,0.52,0.38,0.3,0.18,0.48,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_103913/eval.json
E88,942000,2.74854989528656,0.36666666666666664,110,300,0.32,0.52,0.42,0.26,0.18,0.5,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_164536/eval.json
FLA-GDN,1188000,2.764397621154785,0.38333333333333336,115,300,0.3,0.54,0.6,0.28,0.18,0.4,racer_eval_runs/ctx2k_panel_20260521_initial/snapshot_20260521_222601/eval.json
FLA-GDN,1209000,2.705387279987335,0.37666666666666665,113,300,0.2,0.56,0.6,0.26,0.24,0.4,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_043436/eval.json
FLA-GDN,1230000,2.7413527083396914,0.37666666666666665,113,300,0.28,0.56,0.58,0.24,0.18,0.42,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_103913/eval.json
FLA-GDN,1251000,2.659690470695496,0.38,114,300,0.26,0.48,0.6,0.28,0.22,0.44,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_164536/eval.json
M2RNN,810000,2.6616398525238036,0.37666666666666665,113,300,0.28,0.52,0.56,0.3,0.18,0.42,racer_eval_runs/ctx2k_panel_20260521_initial/snapshot_20260521_222601/eval.json
M2RNN,828000,2.8516360473632814,0.36333333333333334,109,300,0.32,0.5,0.54,0.22,0.18,0.42,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_043436/eval.json
M2RNN,846000,2.746216320991516,0.38333333333333336,115,300,0.32,0.5,0.62,0.28,0.14,0.44,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_103913/eval.json
M2RNN,861000,2.727558057308197,0.36666666666666664,110,300,0.3,0.48,0.56,0.28,0.22,0.36,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_164536/eval.json
Mamba2,1605000,2.854876971244812,0.35333333333333333,106,300,0.22,0.44,0.5,0.26,0.22,0.48,racer_eval_runs/ctx2k_panel_20260521_initial/snapshot_20260521_222601/eval.json
Mamba2,1635000,2.7761822319030762,0.36,108,300,0.2,0.56,0.42,0.28,0.22,0.48,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_043436/eval.json
Mamba2,1665000,2.735274729728699,0.37666666666666665,113,300,0.26,0.54,0.48,0.26,0.18,0.54,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_103913/eval.json
Mamba2,1695000,2.5767716431617735,0.36,108,300,0.22,0.5,0.46,0.28,0.22,0.48,racer_eval_runs/ctx2k_panel_periodic_20260521/snapshot_20260522_164536/eval.json
