category,n_per_cell,chance,best_acc,best_cell,ever_above_chance
arc_challenge,50,0.250,0.380,emender/s2/86000,True
arc_easy,50,0.250,0.460,emender/s1/129000,True
bbh_boolean_expressions,151,0.500,0.593,gdn2/s1/25000,True
bbh_causal_judgement,143,0.500,0.548,emender/s1/64500,False
bbh_date_understanding,146,0.167,0.267,emender/s2/129000,True
bbh_disambiguation_qa,145,0.333,0.455,gdn2/s2/25000,True
bbh_formal_fallacies,147,0.500,0.589,emender/s1/43000,True
bbh_logical_deduction_five_objects,146,0.200,0.247,emender/s2/21500,False
bbh_logical_deduction_seven_objects,150,0.143,0.207,gdn2/s2/150000,True
bbh_logical_deduction_three_objects,147,0.333,0.367,gdn2/s2/75000,False
bbh_tracking_shuffled_objects_five_objects,144,0.200,0.233,emender/s1/86000,False
bbh_tracking_shuffled_objects_seven_objects,151,0.143,0.146,emender/s2/86000,False
bbh_tracking_shuffled_objects_three_objects,150,0.333,0.347,emender/s1/43000,False
bbh_web_of_lies,140,0.500,0.593,emender/s2/150500,True
boolq,50,0.500,0.620,emender/s1/64500,False
folio,147,0.333,0.413,emender/s1/21500,True
hellaswag,50,0.250,0.300,gdn2/s1/100000,False
openbookqa,50,0.250,0.300,gdn2/s2/100000,False
reclor,141,0.250,0.228,emender/s1/43000,False
sciq,50,0.250,0.440,gdn2/s1/50000,True
